,contrast,energy,homogeneity,correlation,dissimilarity,ASM,Type
1134,0.3015012254901961,0.5450345521542731,0.9388761133122077,0.967851947153876,0.14935661764705882,0.29706266304200907,1
1570,0.21228553921568627,0.6476182436233944,0.9523616307367389,0.9764394675344495,0.11283700980392156,0.4194093894738502,1
1337,0.29267769607843136,0.4243893472187159,0.9121849593221784,0.9720877271293902,0.19466911764705883,0.1801063180327278,1
922,0.2096507352941177,0.5697589569411102,0.9480928359404788,0.9766218805210611,0.1202512254901961,0.3246252690146219,0
391,0.3959405637254902,0.6145367292623369,0.9294296580692019,0.9738045475266206,0.17899816176470587,0.3776553916124508,0
187,0.4931066176470588,0.6334716190169402,0.9287962373389493,0.9562767074096866,0.1910845588235294,0.4012862920999434,0
1207,0.42552083333333335,0.5359215186669042,0.887525751854796,0.9600483742382644,0.2569852941176471,0.28721187417024097,1
1119,0.4357230392156863,0.4945453268699746,0.9140645238497748,0.9664306012509186,0.20833333333333334,0.24457508032893,1
1838,0.4699754901960784,0.3605010999943774,0.867355889127083,0.9596666706637483,0.2970281862745098,0.12996104309715611,1
177,0.31528799019607845,0.6010397165018116,0.9306120112576642,0.9733006040971217,0.16516544117647058,0.3612487408125781,0
1643,0.2272058823529412,0.5941473759222937,0.9459626341639751,0.9791848460694168,0.12594975490196078,0.35301110431534743,1
917,0.31985294117647056,0.5572682347375043,0.941301946726471,0.9703337780100021,0.1466911764705882,0.31054788544745415,0
1647,0.18615196078431373,0.44204853164207153,0.9220137687427911,0.9673654557395428,0.16099877450980393,0.19540690432691152,1
758,0.41185661764705883,0.6122467523875433,0.9300594779384788,0.9590578352005894,0.18112745098039215,0.3748460858090938,0
707,0.5136488970588236,0.5568131069424485,0.9131372117767552,0.9590339479394363,0.2221966911764706,0.3100408360629025,0
1808,0.1853247549019608,0.6472872748178955,0.9555643538218148,0.9768111760804619,0.10379901960784313,0.41898081614117777,1
1113,0.3890931372549019,0.39895677464641716,0.8973146597822202,0.9642073735321883,0.23480392156862742,0.15916650803627208,1
428,0.2841605392156863,0.6130603149073937,0.9392439706391915,0.967326552507087,0.1447916666666667,0.3758429497143527,0
362,0.5268075980392157,0.596097145141115,0.9220343780948237,0.9547338432754076,0.20958946078431373,0.3553318064453876,0
105,0.36933210784313725,0.583524752185482,0.9371506319584824,0.9593548452610289,0.16167279411764707,0.3405011364131283,0
1771,0.3117953431372549,0.35892987687823263,0.9009156103052081,0.9735901055683759,0.2163296568627451,0.12883065651582323,1
903,0.2631127450980392,0.5986907676306771,0.9325773953185286,0.9751187723710781,0.15545343137254902,0.35843063524620933,0
165,0.2107383578431373,0.6777591117904325,0.9523282026328632,0.9851075381341812,0.11383272058823532,0.4593574136149559,0
1580,0.26620710784313734,0.5248378626561792,0.9307820937703077,0.9707438433181967,0.15854779411764708,0.27545478207750634,1
483,0.572579656862745,0.6209866601803619,0.9185942955282269,0.9440243172368609,0.22144607843137248,0.38562443212196024,0
1957,0.21020220588235294,0.6388636081642634,0.9447079449442122,0.9817022957865816,0.12610294117647058,0.40814670983666146,1
